"data","location","district","lat","lon","total_cases","total_deaths","patients_admitted_hospitals","children_discharged","mortality_rate_percent","chpv_cases","chpv_deaths","enterovirus_cases","source"
2024-07-21,"Gujarat","Gujarat",22.3944136,68.6851886,85,32,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815047943419777400"
2024-07-21,"Gujarat","Rajkot",22.2734662,70.7388945,3,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815047943419777400"
2024-07-21,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,2,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815047943419777400"
2024-07-21,"Gujarat","Total",NA,NA,90,33,NA,NA,NA,9,5,NA,"https://twitter.com/BrendanMIRROR/status/1815047943419777400"
2024-07-22,"Gujarat","Gujarat",22.3944136,68.6851886,88,35,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815411155504152630"
2024-07-22,"Gujarat","Rajkot",22.2734662,70.7388945,3,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815411155504152630"
2024-07-22,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,2,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815411155504152630"
2024-07-22,"Gujarat","Total",NA,NA,93,36,46,10,39,22,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815411155504152630"
2024-07-23,"Gujarat","Gujarat",22.3944136,68.6851886,101,37,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815769977795809636"
2024-07-23,"Gujarat","Rajkot",22.2734662,70.7388945,3,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815769977795809636"
2024-07-23,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,2,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1815769977795809636"
2024-07-23,"Gujarat","Total",NA,NA,106,38,49,14,35.8490566037736,22,NA,2,"https://twitter.com/BrendanMIRROR/status/1815769977795809636"
2024-07-24,"Gujarat","Gujarat",22.3944136,68.6851886,118,41,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816135522907238813"
2024-07-24,"Gujarat","Rajkot",22.2734662,70.7388945,3,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816135522907238813"
2024-07-24,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,2,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816135522907238813"
2024-07-24,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816135522907238813"
2024-07-24,"Gujarat","Total",NA,NA,124,42,54,23,33.8709677419355,23,NA,2,"https://twitter.com/BrendanMIRROR/status/1816135522907238813"
2024-07-25,"Gujarat","Gujarat",22.3944136,68.6851886,124,44,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816509884730363952"
2024-07-25,"Gujarat","Rajkot",22.2734662,70.7388945,6,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816509884730363952"
2024-07-25,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,2,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816509884730363952"
2024-07-25,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816509884730363952"
2024-07-25,"Gujarat","Total",NA,NA,133,45,54,26,33.8345864661654,37,NA,2,"https://twitter.com/BrendanMIRROR/status/1816509884730363952"
2024-07-26,"Gujarat","Gujarat",22.3944136,68.6851886,127,48,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816859726560231686"
2024-07-26,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816859726560231686"
2024-07-26,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816859726560231686"
2024-07-26,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1816859726560231686"
2024-07-26,"Gujarat","Total",NA,NA,138,51,50,37,36.9565217391304,39,NA,2,"https://twitter.com/BrendanMIRROR/status/1816859726560231686"
2024-07-27,"Gujarat","Gujarat",22.3944136,68.6851886,130,52,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817222332932379004"
